Company name,CH URL,CH filing history URL,CH number extract,OC corporate grouping URL
(Aston Villa) REFORM ACQUISITIONS LIMITED,https://beta.companieshouse.gov.uk/company/05891280,https://beta.companieshouse.gov.uk/company/05891280/filing-history,05891280,
(CHELSEA) FORDSTAM LIMITED,https://beta.companieshouse.gov.uk/company/04784127,https://beta.companieshouse.gov.uk/company/04784127/filing-history,04784127,https://opencorporates.com/corporate_groupings/Chelsea%20FC
(Crystal Palace) CPFC 2010 LIMITED,https://beta.companieshouse.gov.uk/company/07206409,https://beta.companieshouse.gov.uk/company/07206409/filing-history,07206409,
(Fulham) COUGAR HOLDCO LONDON LIMITED,https://beta.companieshouse.gov.uk/company/08600289,https://beta.companieshouse.gov.uk/company/08600289/filing-history,08600289,https://opencorporates.com/corporate_groupings/Fulham%20FC
(Southampton) ST MARY'S FOOTBALL GROUP LIMITED,https://beta.companieshouse.gov.uk/company/06951765,https://beta.companieshouse.gov.uk/company/06951765/filing-history,06951765,
(West Ham) WH HOLDING LIMITED,https://beta.companieshouse.gov.uk/company/05993863,https://beta.companieshouse.gov.uk/company/05993863/filing-history,05993863,
Accrington Stanley,https://beta.companieshouse.gov.uk/company/01287721,https://beta.companieshouse.gov.uk/company/01287721/filing-history,01287721,https://opencorporates.com/corporate_groupings/Accrington+Stanley+FC
AFC Bournemouth,https://beta.companieshouse.gov.uk/company/06632170,https://beta.companieshouse.gov.uk/company/06632170/filing-history,06632170,https://opencorporates.com/corporate_groupings/AFC+Bournemouth
AFC Wimbledon,https://beta.companieshouse.gov.uk/company/04458490,https://beta.companieshouse.gov.uk/company/04458490/filing-history,04458490,https://opencorporates.com/corporate_groupings/AFC%20Wimbledon
Aldershot Town,https://beta.companieshouse.gov.uk/company/08362929,https://beta.companieshouse.gov.uk/company/08362929/filing-history,08362929,
Arsenal,https://beta.companieshouse.gov.uk/company/00109244,https://beta.companieshouse.gov.uk/company/00109244/filing-history,00109244,https://opencorporates.com/corporate_groupings/Arsenal+Football+Club
ARSENAL HOLDINGS PLC,https://beta.companieshouse.gov.uk/company/04250459,https://beta.companieshouse.gov.uk/company/04250459/filing-history,04250459,https://opencorporates.com/corporate_groupings/Arsenal+Football+Club
Aston Villa,https://beta.companieshouse.gov.uk/company/03375789,https://beta.companieshouse.gov.uk/company/03375789/filing-history,03375789,
Barnet,https://beta.companieshouse.gov.uk/company/01239681,https://beta.companieshouse.gov.uk/company/01239681/filing-history,01239681,
Barnsley,https://beta.companieshouse.gov.uk/company/04573250,https://beta.companieshouse.gov.uk/company/04573250/filing-history,04573250,https://opencorporates.com/corporate_groupings/Barnsley%20FC
